s1	s2	s3	s4	s5	sn1	sn2	sn3	sn4	sn5	ts1	ts2	ts3	ts4	ts5	labels
3375.65	17164.98	0	0	0	732.05	-4375.12	-5769.3	1310.04	59137.08	4	-0.18	17780.39	69616.45	383430.7	1
-23842.29	-3680.94	0	0	0	-1587.44	-3668.44	7912.99	46562.48	81231.07	-2.2	-9.7	15543.17	47737.78	231604.46	1
3861.22	33609.33	0	0	0	-3940.38	8653.33	22776.25	24832.18	53204.93	2.96	-101.16	-668.13	57276.95	286325.17	1
-3166.83	25923.65	0	0	0	873.91	4980.73	6513.29	-9110.96	45893.06	-1.96	-2.5	15490.52	76870.77	398306.41	1
18807.13	-29551.06	0	0	0	-46.1	4587.68	11359.79	37454.67	65442.2	0.64	276.82	33134.09	74577.75	358315.66	1
43223.55	-49317.93	0	0	0	-3006.19	-4669.52	-20139.08	-20639.78	39971.92	-2.39	-1.44	14227.92	79271.85	453873.55	1
25124.74	33277.64	0	0	0	-923.58	2491.38	7000.5	-2488.17	47438.34	1.71	20.64	19022.31	78205.18	395599.52	1
735.14	-26678.09	0	0	0	4180.82	-9965.27	3093.3	9647.01	55374.85	-4.86	186.44	26714.49	79040.82	468108.74	1
-22376.1	-28256.91	0	0	0	-5420.92	-14261.52	-16463.28	-20070.59	37309.53	0.32	-120.91	-2032.7	71919.06	430950.6	1
-12433.28	8293.34	0	0	0	3203.62	-2489.88	10959.67	54388.58	106383.49	2.61	13.57	23120.35	53658.85	255071.21	1
-4710.47	24341.79	0	0	0	-3937.35	8286.37	7273.18	41474.82	76015.92	1.75	-28.39	13752.13	49558.11	272236.1	1
11164.22	19418.41	0	0	0	2720.7	3520.88	14534.1	57955.27	104867.32	1.49	10.9	23190.26	53890.17	258713.66	1
7685.7	24372.22	0	0	0	4030.81	-8191.38	1701.82	-2063.23	51214.89	4.97	22.89	16868.18	76723.38	390787.82	1
22176.15	36664.41	0	0	0	2173.78	4836.52	-9688.22	30093.12	68962.63	-1.19	192.81	28204.37	73733.43	357024.67	1
15936.61	22207.58	0	0	0	-163.1	-12696.44	6582.38	42587.15	71663.74	3	-36.95	10075.28	51763.6	276663.48	1
11653.83	32091.05	0	0	0	4674.71	-8089.68	-6269.58	-12498.67	40384.1	2.44	-68.86	7080.86	73742.1	417633.78	1
19735.83	31625.02	0	0	0	-2362.3	2694.73	8104.27	24969.04	42489.36	-2.66	61.94	15277.57	39424.35	209802.2	1
-11847.16	11145.24	0	0	0	6156.9	-6349.33	9971.57	49435.42	93904.07	-4.05	58.6	25033.39	60933.02	329394	1
23157.36	24706.04	0	0	0	5101.63	10145.52	-1530.44	35639.09	75546.26	0.37	84.94	26318.12	69810.4	353750.57	1
10921.89	22340.49	0	0	0	2907.4	6335.78	1220.29	19303.76	63517.33	0.96	64.02	22825.96	72653.04	370413.72	1
-8881.97	-3084.46	0	0	0	-1902.85	2141.78	13298.81	39323.84	70198.73	2.53	-39.13	11080.22	50854.05	275980.43	1
-16955	26756.05	0	0	0	4165.38	9623.71	15930.27	4425.06	51935.84	1.25	25.58	20963.57	76254.84	388384.39	1
6287.21	24210.81	0	0	0	-112.98	-3944.54	1621.57	14228.25	52629.01	-1.49	-67.45	3685.72	62694.43	298635.07	1
-4760.74	25713.46	0	0	0	472.86	1512.41	-2935.67	32653.79	68874.88	2.31	-0.47	16029.59	45621.91	228372.85	1
1181.27	14790.7	0	0	0	-3066.99	4873.11	6368.03	49726.46	97156.55	0.29	2.94	18907.35	54314.4	263666.17	1
-13619.26	29654.39	0	0	0	2814.66	-5871.82	-9911.03	-15935.44	40230.38	0.89	-115.09	-5666.81	68200.85	423108.17	1
1581.46	39166.92	0	0	0	-1571.65	-5602.91	4354.65	11967.38	46646.12	-4.11	-130.51	-5530.36	64001.32	415486.06	1
-20806.56	7436.76	0	0	0	5122.55	4533.86	12861.61	49365.46	99068.81	4.9	1.39	21516	51784.66	242899.08	1
-17454.98	16300.72	0	0	0	3337.62	-1852.37	4739.82	16698.68	65765.71	2.62	3.42	18540.84	67486.45	322030.71	1
18497.01	14171.04	0	0	0	1849.61	4109.91	-6765.2	25845.08	59785.08	-2.75	-58.7	6315.34	60055.51	297570.2	1
-16477.42	13093.53	0	0	0	811.58	913.93	1956.97	32014.31	80443.79	2.76	59.85	25960.78	66141.55	328620.4	1
34213.26	40155.92	0	0	0	-655.86	1357.66	-15846.19	-21600.72	37571.22	3.8	-133.16	-5142.81	71346.34	429238.23	1
-15063.08	29589.9	0	0	0	1292.66	-1196.93	14756.19	3779.38	51722.74	-2.28	41.25	18804.62	76901.95	388107.53	1
-4781.71	10812.23	0	0	0	3616.97	8726.05	-1346.28	38163.32	84440.77	5.3	46.35	24345.99	64523.67	328114.04	1
7816.86	-30369.38	0	0	0	-5648.99	4042.75	-7444.64	-20805.21	37688.76	2.32	-108.35	-3126.3	71306.98	430321.22	1
-8799.59	9684.69	0	0	0	1489.64	-857.47	-99.18	39571.3	75823.69	-4.58	-29.03	14736.71	53144.13	277383.9	1
3136.61	17150.17	0	0	0	-1308.73	-2604.76	-4352.26	5255.9	58187.41	0.05	2.61	16119.62	69301.61	383751.74	1
-30845.91	34213.81	0	0	0	2467.42	-6559.99	-5956.96	-18173.63	38829.1	-2.01	-76.61	-1915.94	70442.22	425578.71	1
-22476.34	36741.52	0	0	0	-525.94	4642.57	19289.32	19131.86	49896.25	-6.19	-111.91	-3279.55	59222.63	413566.97	1
-12607.83	-8950.9	0	0	0	-4141.01	-4695.38	16156.22	63184.51	100855.28	2.25	24.61	22235.78	52358.27	244241.09	1
-24735.36	-6004.46	0	0	0	-2492.05	-2241.11	-2400.25	-14889.71	40704.56	-0.49	-9.78	12521.37	78096.09	445783.59	1
12649.4	20455.52	0	0	0	2160.49	6712.84	11919.04	33709.64	63470.65	3.75	5.71	14110.05	44032.87	224756.88	1
-4140.85	6099.36	0	0	0	-1615.73	2728	9753.44	40590.05	82020.39	2.32	-10.93	17989.73	48306.56	231879.41	1
