labels	s1	s2	s3	s4	s5	sn1	sn2	sn3	sn4	sn5	ts1	ts2	ts3	ts4	ts5	
1	1719.56	257.46	-830.88	0	0	-4804.05	5438.73	12005.55	49178.27	66887.28	-26.49	-8482.56	13092.43	18072.66	143640.6	
1	1046	-646.02	-842.88	0	0	-4217.64	9958.67	2424.19	20704.28	24529.78	5.07	-3136.9	5772.69	6730.83	-19325.11	
1	-1829.33	-541.59	271.8	0	0	-4628.95	-248.54	10514.92	22848.12	40033.41	32.44	-1020.67	5265.37	3759.08	39840.47	
1	-1546.37	-1355.35	1100.75	0	0	-332.11	-14366.14	-10736.29	6189.67	39827.02	8.98	-3141.2	2463.98	-364.25	-3598	
1	1078.98	-95.42	-63.8	0	0	-2053.77	-4151.65	16918.47	31186.35	45946.38	-15.92	-4083.88	5706.34	6122.01	41846.67	
1	-170.59	89.39	-748.52	0	0	3735.08	12086.37	21586.02	43836.05	65448.89	19.09	-6462.41	7554.8	-110541.2	-358377.99	
1	-1806.61	-894.94	-814.95	0	0	-4572.93	-7364.32	13667.22	40968.38	56820.93	-12.01	-9094.12	15701.57	10949.65	74897.81	
1	222.43	-376.73	-193.93	0	0	-5434.36	6568.32	17407.46	36211.97	56469.78	-0.46	-15413.58	6869.75	11174.02	100606.99	
1	381.37	1144.93	1342.05	0	0	408.01	-3654.44	6706.22	-2069.15	-7684.44	-20.09	-2585.15	44119.51	-24133.92	-178746.93	
1	-1016.13	-705.93	1755.02	0	0	3371.45	-5690.8	-5624.5	134.55	21542.38	24.6	-4098.75	-3113.88	-17824.23	-88424.09	
1	-224.73	-704.33	-1121.11	0	0	-2615.79	-2458.63	617.94	30526.43	37676.81	7.45	-15636.48	18867.26	12569.81	60486.2	
1	2233.77	944.59	123.08	0	0	-4004.15	7263.61	3808.66	25754.92	51798.59	24.72	-2439.75	10097.34	4411.01	9658.37	
1	-4461.6	-1813.15	1807	0	0	-655.08	4111.91	-10733.08	1244.19	26627.76	-39.45	4835.09	-3283.46	-11929.39	-80673.77	
1	754.6	629.1	-1337.77	0	0	-5116.33	4405.63	19907.85	54311.17	80028.4	-9.19	-5031.51	24302.48	23830.27	155254.15	
1	1681.94	1226.91	-1840.52	0	0	-155.17	1502.32	27586.23	61040.26	85110.78	-12.79	-353.62	24157.6	26791.56	166225.61	
1	242.14	-28.6	-345.56	0	0	2277.77	-987.58	13154.63	11805.65	4257.12	7.95	-7137.06	-12444.87	-4105.05	-33198.18	
1	1640.06	1478.8	-1978.13	0	0	446.18	10587.42	20354.19	57955.14	86553.86	11.2	845	23774.04	27210.24	166545.05	
1	-1110.28	741.54	2162.37	0	0	-5935.13	2118.56	-1111.16	-5626.89	2917.8	-0.05	-6705.05	-18851.03	-15811.29	-138636.02	
1	-363.44	863.96	1468.9	0	0	-1818.42	-1782	-6409.95	3526.79	1680.16	-18.1	-1706.22	-21471.4	-29283.76	-151222.65	
1	2462.64	-217.77	-2015.9	0	0	-1113.96	6787.14	-4947.17	15545.95	25311.03	4.14	2311.19	31216.1	35117.34	200943.71	
1	-804.21	-288.73	372.97	0	0	5233.64	5333.28	-449.08	11138.86	11025.38	-6.78	-3874.38	-4991.56	-3925.89	-48455.87	
1	3011.78	571.32	-1596.28	0	0	2537.06	11863.33	15238.15	45280.14	68390.81	27.5	-2432.15	20128.5	27974.2	171113.37	
1	-1401.16	-916.18	559.42	0	0	-378.37	-105.76	-16951.98	14068.43	45910.76	9.6	2508.02	6700.26	-5158.63	4227.66	
1	-1149.42	-21.24	1364.25	0	0	3720.32	-5765.57	1697.14	1940.1	15879.3	8.35	-3295.48	-9793.67	-21522.09	-109171.74	
1	256.62	1857.98	2219.39	0	0	-3341.64	-6525.14	-19453.94	-13746.74	-30836.24	21.07	2521.78	-28814.64	-36471.76	-193329.38	
1	836.57	544.29	-1188.47	0	0	-1252.14	-2173.09	16721.86	39629.4	68741.73	-6.26	696.87	17749.07	16997.12	126711.56	
1	-501.18	1102.92	1993.96	0	0	4029.74	4698.93	7652.86	-1716.86	2838.2	-7.65	-6567.24	-18314.84	-26861.74	-139596.34	
1	1017.88	325.78	-1985.93	0	0	4299.79	8531.32	543.7	31063.96	44448.69	0.93	3104.08	23712.85	31284.18	193351.38	
1	-2209.51	-1376.09	-1211.09	0	0	1983.52	4999.51	13940.08	38768.12	66252.81	19.47	-3766.67	24624.07	16864.56	125245.3	
1	473.9	519.15	951.05	0	0	1264.34	9885.74	159.48	8195.55	17423.2	-19.35	-4846.34	-8232.7	-15795.63	-120078.68	
1	-1458.22	-910.13	-206.91	0	0	-1965.86	6853.18	12796.95	17400.69	11175.75	-10.1	-2821.62	-10000.79	-1371.64	-36109.56	
